filename,full_sentiment,custom_sentiment,full_words,custom_words
cnn_panel_explodes_over_suggestion_kamala_was_chosen_by_dem_party_elites.txt,21,NA,"dismal, hopeful, support, convinced, questioned, care, chaos, defenders, attack, true, won, like, racist, win, want, legal, matters, hell",NA
could_be_something_very_wrong_with_her_trump_calls_on_kamala_to_take_cognitive_test.txt,-8,-3,"wrong, lethargic, stamina, attack, hiding, fit, fired, important, protect, dodging, illegal, assassination, excellent, perfect",illegal
crime_in_philadelphia_isnt_going_anywhere_in_kamala_harris_america.txt,-61,-3,"crime, improved, chaos, fired, like, suffering, desperate, touting, violent, united, admits, true, solve, problem, violence, victims, increased, aggravated, thanks, supported, criminal, justice, increase, worth, stop, charges, affectionate, criminals, embarrassment, safe, win, solutions, good, top, illegal, dirt, safety, success, supports, restricting, certain, prevent, horrific, blame",illegal
defend_our_country_imprisoned_pro_life_activists_urge_americans_to_vote_against_kamala.txt,-70,-5,"imprisoned, sadly, prison, jailed, promised, pardon, prisoners, violating, freedom, charged, blocking, support, supports, peaceful, faith, care, prisoner, victimized, promise, anti, praying, good, stop, interrupted, justice, clear, increased, ensure, murder, frustrated, stronger, grateful, free, lawsuits, enemy, save, notorious, criminals, offender, violent, rescues, illegal, matter, feeling, hopeful, sentence, like, wish, arrested, blessing, battle, evil, death, sincerity, deception, love, god, pray, alone, disgusting, killing, clearly, harmful, defenseless, desire, betrayal, pardoned, hope, encourage, expand, ignored, attacks, leak, protects, critics, prosecution, violence, lack, crazy, heartbreaking, sorry","illegal, crazy"
every_21st_century_democratic_presidential_nominee_supports_restricting_free_speech.txt,-22,-4,"supports, restricting, free, no, backed, shared, kind, restriction, misinformation, demanded, stop, promote, allow, protected, support, censor, killing, blamed, loss, propaganda, charged, better, lost, sick, block, fear, banned, certain, like, abuse, endorse, restrict, convince",propaganda
exclusive_seven_undecided_pennsylvania_voters_say_whats_driving_their_decision.txt,28,NA,"exclusive, undecided, like, dislike, dead, shared, winner, agreed, aggressive, kind, focused, stopped, pay, increase, matters, no, matter, impose, growing, debt, wealth, top, scare, want, bothered, big, good, strong, worry, hurt, united, win, worst, stop, trust",NA
fcc_commissioner_kamalas_snl_appearance_a_blatant_effort_to_evade_equal_time_rule.txt,17,NA,"worth, no, invite, clear, stop, flagship, comedy, effectively, avoid, biased, opportunity, ensure, like, reach, extend",NA
fing_disgrace_trump_campaign_fumes_at_despicable_and_racist_kamala_ad.txt,-48,NA,"disgrace, racist, fuming, attack, warning, war, like, spark, motivated, murder, beaten, death, no, ethical, lowest, blames, shamed, endorsement, critics, impressed, reach, fear, mongering, united, hell, supporting, anti, blame, insane, criticism, responsible, kind, insult, dirty, protect, excluded",NA
harmeet_dhillon_shreds_kamalas_record_as_da.txt,-97,NA,"top, stop, good, criminal, no, fake, crime, strikes, criticized, violent, commits, complained, racist, violated, fine, won, murder, charges, violating, limits, incompetence, violence, killed, bad, scared, refused, joke, criminals, exploited, manipulated",NA
harris_should_be_impeached.txt,-28,NA,"pressure, pretty, good, responsible, no, clearly, want, threatened, withdrawal, natural, favor, united, charges, acquitted, benefit, harm, prospects, advantage, significant, straight, war, terror, killed, demand, protect, destroy, enemies, glee, like, warned, blamed, drop, suffering, launched, top, restricts, increase, skeptical, threat, legal, excuse, threaten, big, strike, interest, avoid, matter, clear, awful, threatening, attack, hard, fine, violated, exclusive, join, free",NA
here_are_the_things_kamala_has_supported_in_the_past_but_wont_say_if_she_supports_now.txt,5,NA,"supported, supports, certain, avoid, like, mandatory, gun, no, vague, matters, support, want, refused, prisoners, detained, detention, racist",NA
heres_what_kamala_was_saying_about_gaza_as_sinwar_cited_white_house_pressure_to_reject_hostage_deal.txt,-43,NA,"pressure, reject, criticism, death, rejecting, generous, united, rejected, prisoners, terror, suffering, jesus, criticized, demanded, devastating, killed, injured, accused, imposing, harsher, no, war, frustration, important, better, launched, fight, huge, mistake, clear, matters, worse, suspended, attack, rape",NA
heres_where_trump_and_kamala_will_spend_their_final_campaign_day.txt,7,NA,"won, supporters, racist, grand, stops, like, no",NA
how_does_one_vote_for_someone_this_dishonest_after_sinwars_death_kamala_blasted_for_bragging.txt,-49,-6,"dishonest, death, idiot, murderous, justice, kills, threatens, interests, killed, demanded, alive, trusted, attacking, clear, huge, mistake, racist, threatened, warned, ignored, forget, thanks, god, cut, problem",idiot
how_the_kamala_camp_is_reportedly_manipulating_the_internet_to_fake_support_and_spread_lies.txt,-8,NA,"manipulating, fake, support, boost, discord, manipulated, help, effectively, certain, spamming, popular, promote, helps, true, boosting, matter, top, influential, block, racist, misleading, dislike, hostile, deception, bias, exposed, care, unaware, engage, broke, banned, shocking",NA
jake_tapper_fact_checks_kamalas_lie_about_trumps_protect_women_remark.txt,-7,-3,"protect, like, illegal, criminal, fit, want, ban, no, rape, authority, racist, insane, criminals, murder, kill",illegal
joe_rogan_reveals_kamalas_demands_to_do_jre_podcast_rogan_doesnt_agree.txt,19,NA,"demands, agree, agreed, demanded, racist, best, sincere, wish, nice, hope, unclear, demanding, kind, mess, hilarious, engage, vigilant",NA
kamala_calls_trump_a_petty_tyrant_in_closing_speech_as_far_left_protests_rage.txt,-35,NA,"protests, rage, risks, losing, support, like, chaos, protest, united, fascist, attacks, death, kill, protesters, cries, supporters, clash, growing, chances, encouraged, celebrated, violence, popular, shameful, threat, freedom, free, fair, lost, no, failure, suffers, struggle, top, fight, restore, ban, restrict, risk, leave, hard",NA
kamala_camp_scrambles_to_navigate_cracks_in_the_blue_wall.txt,14,NA,"falling, shared, win, warning, reach, racist, good, strongest, support, fair, devastating, no, matter, cutting",NA
kamala_campaign_implosion.txt,17,NA,"dead, perfectly, positive, drop, underestimate, hoping, bad, panic, warning, wins, advantage, better, win, hopeful, good, worse, trust, war, winning, awful, worn, joy, exclusive, join, free",NA
kamala_campaign_official_in_pennsylvania_spends_his_weekends_as_erotica_the_drag_queen.txt,1,NA,"drag, pretty, thrilled, share, reached, celebrate, bless, aggressive, inspired, proud, killing, worse, greet",NA
kamala_campaign_quietly_concedes_plan_for_black_men_is_actually_not_limited_by_race.txt,9,NA,"limited, admitted, opportunity, clear, struggles, good, support, loved, racist, solutions, benefit, critics, mocked, disaster, popular, forced, war, like, backing, losing, prominent, yes, assets",NA
kamala_claims_highlighting_her_exact_words_is_disinformation.txt,-1,-12,"support, illegal, misinformation, supports, prisoners, supporting, no, war, authority, ensure, care, prison, detention, comprehensive, racist, yes, important, responsible",illegal
kamala_claims_inflation_crisis_she_sparked_is_not_a_partisan_issue.txt,-2,NA,"crisis, top, like, racist, increased, war, rescue",NA
kamala_crowd_goes_silent_at_rally_in_viral_clip.txt,8,NA,"want, convince, supporters, laughing, embarrassing, awkward, stop, stopped, chance, reached, no, glad, please, agreed, reach, mocked",NA
kamala_disappointed_numerous_major_newspapers_did_not_endorse_her.txt,7,NA,"disappointed, endorse, endorsement, god, like, refusing, disappointing, no, doubt, war, broke, racist",NA
kamala_evades_question_about_supporting_trans_rights.txt,15,NA,"supporting, support, avoided, care, racist, distracted, no, like, love, want, backing, bullied, clear",NA
kamala_harris_fumes_when_confronted_over_covering_up_bidens_cognitive_decline.txt,-6,NA,"difficult, forced, disastrous, important, no, war",NA
kamala_harris_plagiarist.txt,-2,NA,"broke, empty, criminal, justice, smart, crime, good, award, accusations, emptiness, committed, failed, matter, exclusive, join, free",NA
kamala_harris_plagiarized_sections_of_2009_book_report.txt,-5,NA,"gained, fame, blocks, exclusive, criminal, justice, smart, crime, resigned, scandal, no, supporting, racist, support, accused, promises, supported, promise, supports",NA
kamala_harris_unserious_campaign.txt,23,NA,"win, united, jokes, funny, hard, no, growing, innovation, peace, intimidation, enemies, strengthening, true, pay, share, emptiness, betrays, capable, like, comfortable, likes, kind, prepared, fake, exclusive, join, free",NA
kamala_has_ties_to_iran_praising_hezbollah_supporting_imam.txt,7,-7,"praising, supporting, supports, praised, clear, propaganda, extend, regretted, missing, emergency, hate, greatest, authority, support, legally, supported","propaganda, hate"
kamala_mocks_trump_for_stopping_town_hall_after_2_attendees_have_medical_emergencies.txt,-28,NA,"mocks, stopping, mocked, racist, warm, survived, assassination, fun, supporters, hell, ability, lost, confused, boosted, hope, no, stopped, fired, pathetic, drop, war",NA
kamala_on_why_she_cant_say_what_shed_do_differently_than_biden_vps_not_critical_of_their_presidents.txt,7,NA,"failed, meaningful, matter, grand, important, war, racist, like, fresh",NA
kamala_once_threatened_to_jail_oil_executives_they_need_to_pay_the_price.txt,-32,NA,"threatened, pay, anti, prosecute, failed, prepared, fine, charged, crime, crisis, harm, big, touting, severe, racist, ban, no, favor, safety, greatest, threat, committed, supported, clear",NA
kamala_refuses_to_say_how_she_voted_on_crime_fighting_measure_in_california.txt,-18,-2,"crime, increase, refused, favor, endorsement, successful, allow, felony, charges, certain, critics, struggles, violent, free, propaganda, popular, supports, destroy",propaganda
kamala_ripped_for_agreeing_with_far_left_protester_about_genocide_in_gaza.txt,-25,NA,"agreed, war, interrupted, fired, want, disputed, dead, racist, ugly, ignorant, alone, increased, disturbed, committing, threatens, disgusting, agrees, accuse",NA
kamala_running_pro_palestinian_ads_in_michigan_pro_israel_ads_in_pennsylvania.txt,-32,NA,"struggle, anti, conflict, suffering, like, protesters, clear, ensure, ability, violence, hesitate, interests, backed, heartbreaking, ignores, critics, racist, sympathy, devastating, protests, drop, attacks",NA
kamala_says_shell_enforce_border_laws_her_admin_gave_1_2_million_to_group_that_wants_to_end_them.txt,-10,-30,"illegal, supports, legal, prevent, grants, frustrate, agree, perfectly, share, protect, criminal, charged, violent, grant, avoid, awarded, united, motivated, support, favors, endorsed, backed",illegal
kamala_set_for_surprise_appearance_on_saturday_night_live.txt,-14,NA,"mocked, accused, destructive, misery, hurt, broke, crushing, like, racist",NA
kamala_signals_shes_open_to_spending_trillions_on_racial_reparations.txt,3,NA,"support, no, clear, god, pay, failed, supported, racist, matter, strongest, cutting, unclear, like, free, miss",NA
kamala_town_hall_attendees_barred_from_asking_questions_all_pre_determined.txt,-1,NA,"determined, hopefully, admitted, war, embarrassing, admits, fake, loser, want, hope, racist, no, like, joyful, opportunity, hard, prepared",NA
kamala_voter_made_really_important_point_that_trump_may_put_minorities_in_camps.txt,-16,-9,"important, scared, panicked, god, please, enemies, wins, war, yeah, racist, fear, illegal, worry",illegal
kamala_was_the_chief_cheerleader_cnn_pundit_torches_veep_for_her_role_in_biden_cover_up.txt,4,NA,"mocked, interest, advanced, irony, attacks, rich, free, great, attack, hiding, kind, want, problem, better, racist, good, cut, united, mocking, true",NA
kamalas_campaign_is_flawless_media_to_blame_for_not_fawning_enough_sunny_hostin.txt,-17,NA,"blame, losing, winning, problems, better, no, huge, fantastic, failed, anxious, scared, death, hiding, focused, insulting, falling",NA
kamalas_campaign_outraised_team_trump_3_to_1_in_september.txt,0,NA,"war, supporting, racist, lags, benefitting, support",NA
kamalas_desperate_final_plea_vote_for_me_or_youre_sexist.txt,-18,-9,"desperate, like, fraud, lawsuits, clear, failure, ensure, important, clearly, outrage, natural, no, alarm, excuse, straight, broke, support, collapsing, admits, fair, united, racists, supporting, hate, kind, bad, great, supporter, best, worst, horrible, hates, trouble, vision, scold, worse, pretends, agreed, defenders, failing, alone, hard, true, skeptical, convince, stereotype, negative, hesitant, capable, want, worried, share, good, problems, benefits, faking, supported, irate, suspicious, upset, losing, exclusive, join, free",hate
kamalas_pathetic_plan_to_bribe_black_voters_with_reparations_and_marijuana.txt,3,-3,"pathetic, bribe, straight, badly, win, support, scream, loss, want, exciting, shock, illness, losing, clear, pretty, important, matters, admit, feeling, pressure, desperate, hail, like, clearly, friendly, no, god, hiding, pay, great, backs, free, pretending, matter, slavery, progress, worse, war, failure, success, top, growing, big, share, gross, burden, responsible, kind, murders, outrage, supports, favor, racist, retreat, supported, illegal, block, good, broke, ability, hide, lawsuit, fire, cares, better, protect, safe, opportunities, anti, insane, racism, disdain, alone, celebrate, destroy, benefit, capable, backing, exclusive, join",illegal
kamalas_staged_hurricane_call_to_florida_mayor_was_edited_to_remove_self_praise_report.txt,-14,NA,"praise, pretending, racist, refused, irresponsible, selfish, disaster, struck, no, support, scandal",NA
kamalas_wins_viral_source_of_pro_kamala_misinformation_was_launched_by_biden_admin_employee.txt,80,NA,"misinformation, launched, wins, top, favorite, popular, supporting, violating, praising, fresh, reached, violate, violated, charged, warning, wrong, shared, promoted, positive, violent, crime, help, happy, thanks, great, thank, anti, love, reach, competent, embarrassing, forced, suspend",NA
liberal_super_pac_warns_kamala_calling_trump_a_fascist_isnt_persuasive.txt,0,NA,"super, warns, fascist, negative, attacks, effective, attacking, warned, exhausted, racist, positive, dubious, praised, promised, expand, increase, warning, enemies, clear, chance, winning",NA
liberals_are_exploiting_this_loophole_to_flood_swing_states_with_dark_money.txt,17,NA,"exploiting, trust, support, hope, boost, like, competitive, top, admitted, struggling, backed, sick, leave, thrilled, helping, ban",NA
los_angeles_times_snubs_kamala_wont_endorse_in_2024_white_house_race.txt,23,NA,"snubs, endorse, avoided, backing, endorsement, backed, favorite, wealthy, deny, gaining, support, endorsed, successful, racist, pressure, shaky, refused, kind, matter, interesting",NA
majority_of_americans_say_kamala_harris_hasnt_clearly_explained_immigration_stance.txt,-8,-24,"clearly, illegal, top, strengthening, favor",illegal
msnbc_anchor_shocked_by_brutal_responses_from_black_voters_in_philadelphia_about_kamala.txt,-15,-4,"shocked, want, scared, secure, clearly, supporting, support, free, no, struggles, crazy, like, racist, fine, care, violent, chaos, stolen, bad, misrepresentation",crazy
my_completely_unprejudiced_rundown_on_why_kamala_harris_sucks.txt,-9,NA,"sucks, pay, fair, share, hell, clear, reckless, disregard, confused, important, easy, bias, like, pleasure, meaningless, ensure, careful, badly, positive, laugh, dreams, hard, rage, yes, avoid, war, terrible, want, care, enjoying, benefits, screaming, panicked, escape, hilarious, bullied, shocked, no, stop, great, exclusive, join, free",NA
new_york_times_ignored_examples_of_kamalas_plagiarism_withheld_them_from_cited_expert.txt,-31,NA,"ignored, smart, crime, error, true, vicious, limited, lied, criticized, wrong, bad, racist, big, want, clear, accusations, matter, damage, accidentally",NA
non_citizen_illegal_alien_voting_could_deliver_key_swing_states_to_harris_study_finds.txt,-2,-21,"illegal, significant, favor, certain, winner, racist, share, advantage, favored, gain, agree, help, warning, supports, win, warned",illegal
not_encouraging_nyt_warns_kamala_in_trouble_as_poll_finds_her_tied_with_trump_topStoryPosition_1.txt,-10,NA,"warns, trouble, warned, pessimistic, strong, danger, error, racist, top, trusted, disappointed, accepted, support",NA
publisher_in_damage_control_mode_after_report_detailing_kamalas_alleged_plagiarism.txt,-38,NA,"damage, accidentally, crisis, smart, crime, accident, top, please, appreciate, help, criticize, determined, racist, admits, peaceful, war, pay, error",NA
race_to_the_middle_which_candidate_resonates_more_with_middle_america.txt,73,NA,"focused, danger, vision, betrayed, great, thank, pleasure, honor, love, ugly, praising, disparaging, nonsense, amazing, top, like, no, fascist, threat, fallen, winning, promised, assassination, depressing, best, inability, bad, threatening, fun, true, interesting, degraded, humiliated, proud, happy, encourage, united, dream, struggle, legal, rewards, big, win, positive, care, cares, commitment, smart, ban, natural, refuse, opportunity, promises, cuts, cut, help, cutting, hard, lack, problem, increase, demand, worse, struggling, better, rich, want, protect, free, effective, disaster, effectively, mess, legally, gains, honest, growth, agree, won, growing, huge, exclusive, join",NA
religious_freedom_defenders_tear_into_kamala_for_denying_religious_exemptions_to_abortions.txt,2,NA,"freedom, defenders, denying, top, allow, frowning, like, engage, outrage, support, violate, anti, faith, promoting, deny, kill, pray, accused, forced, pay, no, promises, care, vulnerable, vile, endorsed, chance, sadly, war, warned",NA
shiny_kamala_mocked_over_appearance_at_semiconductor_factory.txt,1,NA,"mocked, glad, laughing, stops, chance, please, helpless, war, hard, like, racist, reached, no, agreed, critics, clearly, safety, help, dumbass",NA
spin_cycle_kamala_surrogates_explain_away_her_man_problem.txt,17,NA,"problem, care, want, worth, missed, stops, struggled, gain, support, struggle, violent, united, cleaner, big, solution, scold, supporting, feeling, insulted, helpful, insult, enthusiastic, love, bias, shares, active, reach, granted, better, engage, excitement, lack, worried, like, yes, great, criticism, struggling, outraged, protests, no, problems, top, gained, dead, exclusive, join, free",NA
st_kamala_tries_to_laugh_off_hot_mic_moment_at_a_bar_with_gretchen_whitmer.txt,4,-2,"laugh, admit, struggling, reach, top, effectively, forced, weakness, shit, ha, war, laughed, laughing, good, hope, helpful, insult, enthusiastic, insulting, crazy",crazy
team_kamala_angry_at_biden_for_not_thinking_of_campaign_before_praising_desantis.txt,-4,NA,"angry, praising, praise, attacking, irresponsible, selfish, disaster, struck, no, support, great, thank, undermined, drop",NA
terrified_as_her_numbers_among_black_men_dive_kamala_rolls_out_plan_for_them.txt,18,NA,"terrified, weak, frightened, opportunity, supporting, assets, protected, focused, cancer, opportunities, protect, boost, support, won, drop, like, worst, winning",NA
the_2009_book_was_not_the_only_thing_kamala_plagiarized.txt,-4,NA,"free, support, missing, mistaken, error, racist, victim",NA
the_85_of_voters_want_cbs_news_to_release_transcript_of_kamalas_60_minutes_interview.txt,4,NA,"want, accused, better, fair, strong, cut, fit, racist, top, refuse, avoided, united, support, war, stop, clear",NA
the_dei_candidate_matt_walsh_blasts_kamala_calls_out_dems_race_obsession.txt,-10,NA,"racist, jokes, victim, kind, scam, expose, outraged, inconvenient, true, better, kills, good, successful, huge, success, top, deception",NA
the_faithful_should_fear_a_kamala_presidency.txt,1,NA,"faithful, fear, hostile, faith, no, fake, distract, promised, warned, jesus, wrong, pleased, ignorant, laughed, damage, clear, warning, freedom, denying, thanks, clarity, forced, violates, supported, harm, bad, like, poor, refusing, violate, support, matter, pretends, care, lobby, benefits, crime, protected, encouraged, limits, want, afraid, shocking, better, encourage, alone, blamed, willingness, accept, moody, agrees, true, good, save, destroy, exclusive, join, free",NA
the_lefts_betrayal_of_the_first_amendment.txt,-19,-4,"betrayal, free, fit, protected, threat, faithful, banned, protect, charged, propaganda, warned, forced, censor, freedom, win, condemned, committed, censored, attacks, block, hurt, badly, allow, wrong, like, best, combat, dislike, rewarding, anti, zealot, censors, want, war, risk, losing, united, swearing, exclusive, join",propaganda
the_most_absurd_dei_moments_under_biden_harris.txt,5,NA,"incompetent, negative, racist, good, united, disastrous, certain, straight, capable, worth, hilarious, spirit, war, favorite, no, harm, top, best, advanced, want, pretty, clear, strange, alarm, suspicious, stopped, stop, useful, gun, missed, hard, hopefully, notorious, menace, esteemed, waste, bad, distracted, hope, progress, missing, like, promoting, disputed, integrity, excellence, innovation, confusing, dumb, evil, nice, proud, accomplished, mindless, important, depressing, great, pretending, success, justice, dreaded, big, improvement, fraud, safety, desperately, favorites, fire, laughing, exclusive, join, free",NA
the_talking_points_have_been_disseminated_media_swoops_in_to_defend_kamala_in_lock_step.txt,-9,-2,"clear, attack, damage, attacking, perfectly, great, strong, scared, complained, misleading, stupid, hated, strength, racist, wow, contentious, war",stupid
the_view_hosts_try_to_spin_kamalas_fox_news_interview_that_was_not_fair_and_balanced.txt,-12,NA,"fair, help, win, attack, unfair, want, misinformation, like, good, racist, criticized, angry, complained, alone, great, strong, scared, interrupted, harsher, accusing, disgusting",NA
top_bloomberg_editor_calls_out_kamala_for_declining_interview.txt,-3,NA,"top, dodging, war, refusing, racist, granted, struggles, friendly, god, agree, positive, hard, negative, wrong",NA
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt,-3,-6,"incompetent, criticized, attack, crisis, praised, illegal, great, bad, best, strongest, endorsement, honor, terrible, worst, lethargic, hopefully, congratulations, fair, clearly, good, inferior, ability, racist, burdened, kind, strength, united",illegal
trump_fec_complaint_alleges_washington_post_illegally_boosted_kamala.txt,13,-11,"boosted, endorse, endorsed, darkness, accusing, illegal, kind, boost, boosting, positive, support, accepted, promote, violated, accept, anti, propaganda, like, protected","illegal, propaganda"
trumps_cruising_kamalas_crashing.txt,81,-3,"insane, joy, clear, win, no, popular, wrong, reach, love, commit, big, feeling, celebrate, best, lost, united, charming, funny, highlight, true, undermines, perfectly, care, like, hate, excellent, good, enjoys, winning, losing, better, relentless, annoying, want, enjoying, exclusive, join, free",hate
watch_kamala_voters_say_trump_supporters_are_nazis_want_trump_in_prison.txt,-16,-6,"supporters, want, prison, committed, treason, hate, fascists, wins, top, united, damn, fascist, inspire, violence, great, frightening, disgusting, hope, contender, destroy, ass, love, death",hate
watch_michael_knowles_gives_eight_reasons_why_not_to_vote_for_kamala.txt,-44,-2,"best, failures, exposes, disasters, weird, crisis, withdrawal, unsure, exposed, crazy, craziest, worst, murders, died, extend, won, dead, worth, chaos, killed, war, united, straight, assets, favor, attacked, murdering, bad, debt, increased, substantially, odd, waste, arrested, commitment, persecuting, win",crazy
weird_science_kamala_answers_question_about_trump_and_race_with_astronomy_lesson.txt,-6,NA,"weird, confusing, benefit, attacking, failing, no, focused, agreement, war, strange, critics, attraction",NA
what_trump_and_kamala_campaigns_are_saying_about_their_internal_data_in_the_final_stretch.txt,18,NA,"optimistic, touted, focused, big, war, favor, struggling, certain, feeling, winning, avoid, like, conflict",NA
when_everyone_is_hitler_no_one_is_hitler.txt,-83,-3,"no, desired, chilling, horrific, war, wishes, crime, warfare, unworthy, murder, loyal, dead, hate, madness, desperate, lack, shame, accept, assassination, easy, unstable, fearing, want, disappointment, disturbing, bizarre, survived, intact, peace, supported, ill, commit, yes, riot, death, prisoners, dumped, condemned, die, torture, guarantee, unaware, warm, ignorant, anti, negative, aggression, save, encouraged, spirited, condemn, difficult, inspiration, suffering, like, evil, worst, dubious, ignorance, true, granted, authority, secure, bad, prevent, interests, insult, belittle, victims, incompetence, astounding, matter, wins, apology, banish, fear, poor, mistaken",hate
where_the_f_were_you_emhoff_says_kamala_berated_him_for_being_in_spin_class_when_biden_dropped_out.txt,-8,NA,"accused, favored, no, laughed, smiling, like, forced, fuming, missed, leave, fear, good, afraid, admitted, stronger, denied, distraction",NA
why_kamala_harris_is_a_perfect_poster_child_for_whats_wrong_with_dei.txt,6,NA,"perfect, wrong, incompetent, gain, authority, greater, danger, opportunity, won, free, violate, disgraced, no, retained, comfortable, united, clear, racism, disguise, ignore, rejects, fair, approval, die, restricted, influential, pressure, top, clearly, protect, lack, disdain, havoc, opportunities, failed, stop, coward, vision, strengthen, restore, admitted, damage, like, fear, racist, interests, important, best, hope, support, alone, demand, better, faith, doom, exclusive, join",NA
