docname,from,to,pre,keyword,post,pattern
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_22,48,48,"Finally , former model Stacey Williams alleged during a Harris campaign event that Trump had groped her 31 years ago . The timing of her allegation – just two weeks before the election – and the forum in which she made it – a “ Survivors for",Harris,"” campaign event – call into question the validity of her claim . Trump has been famous for five decades , and the claim was never mentioned during his previous two presidential campaigns . Multiple women have come forward with dubious claims of harassment against him , yet she waited",harris
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_22,62,62,event that Trump had groped her 31 years ago . The timing of her allegation – just two weeks before the election – and the forum in which she made it – a “ Survivors for Harris ” campaign event – call into question the validity of her claim .,Trump,"has been famous for five decades , and the claim was never mentioned during his previous two presidential campaigns . Multiple women have come forward with dubious claims of harassment against him , yet she waited until 2024 to make hers .",trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_22,75,75,"her allegation – just two weeks before the election – and the forum in which she made it – a “ Survivors for Harris ” campaign event – call into question the validity of her claim . Trump has been famous for five decades , and the claim was never",mentioned,"during his previous two presidential campaigns . Multiple women have come forward with dubious claims of harassment against him , yet she waited until 2024 to make hers .",men
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_22,84,84,"– and the forum in which she made it – a “ Survivors for Harris ” campaign event – call into question the validity of her claim . Trump has been famous for five decades , and the claim was never mentioned during his previous two presidential campaigns . Multiple",women,"have come forward with dubious claims of harassment against him , yet she waited until 2024 to make hers .",men
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_22,92,92,"it – a “ Survivors for Harris ” campaign event – call into question the validity of her claim . Trump has been famous for five decades , and the claim was never mentioned during his previous two presidential campaigns . Multiple women have come forward with dubious claims of",harassment,"against him , yet she waited until 2024 to make hers .",men
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_23,7,7,Her allegation also attempted to tie,Trump,"closer to notorious sex offender Jeffrey Epstein , even though there is more evidence that prominent Democrats were close to Epstein than Trump .",trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_23,30,30,"Her allegation also attempted to tie Trump closer to notorious sex offender Jeffrey Epstein , even though there is more evidence that prominent Democrats were close to Epstein than",Trump,.,trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_24,37,37,"Williams is also a former activist for President Barack Obama , making her claims even more questionable . And they were published in The Guardian , the same outlet that published dubious sexual assault allegations against",Trump,just before the 2020 election – accusations that couldn’t get traction from legacy American news outlets .,trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_25,1,1,,Trump,"campaign press secretary Karoline Leavitt denied the story in no uncertain terms : “ These accusations , made by a former activist for Barack Obama and announced on a Harris campaign call two weeks before the election , are unequivocally false . It’s obvious this fake story was contrived by",trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_25,31,31,"Trump campaign press secretary Karoline Leavitt denied the story in no uncertain terms : “ These accusations , made by a former activist for Barack Obama and announced on a",Harris,"campaign call two weeks before the election , are unequivocally false . It’s obvious this fake story was contrived by the Harris campaign . ”",harris
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_25,53,53,"press secretary Karoline Leavitt denied the story in no uncertain terms : “ These accusations , made by a former activist for Barack Obama and announced on a Harris campaign call two weeks before the election , are unequivocally false . It’s obvious this fake story was contrived by the",Harris,campaign . ”,harris
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_26,34,34,"Journalist Mark Halperin also said on his podcast “ The Morning Meeting ” this week that he and likely others have been pitched a story that , if true , would “ end",Donald,Trump’s campaign ” but added that he didn’t believe the story was true .,donald
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_26,35,35,"Journalist Mark Halperin also said on his podcast “ The Morning Meeting ” this week that he and likely others have been pitched a story that , if true , would “ end Donald",Trump’s,campaign ” but added that he didn’t believe the story was true .,trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_27,21,21,“ Jeffrey Goldberg of The Atlantic just happened to publish his story two weeks before the election with accusations against,Donald,"Trump , some of which have been disputed for the first time , some of which have been disputed for quite some time . And the point I was making is there’s all sorts of things being floated out there . Maybe Jeffrey Goldberg just happened to finish the story",donald
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_27,22,22,“ Jeffrey Goldberg of The Atlantic just happened to publish his story two weeks before the election with accusations against Donald,Trump,", some of which have been disputed for the first time , some of which have been disputed for quite some time . And the point I was making is there’s all sorts of things being floated out there . Maybe Jeffrey Goldberg just happened to finish the story two",trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_28,53,53,"know of one story that’s been pitched to a major newspaper and to me , and for all I know , to many others , that I don’t believe is true , ” he added . “ But if it’s true , as I said yesterday , it would end",Donald,"Trump’s campaign , just as if the accusations , now thoroughly debunked , contributed by American intelligence to Russia about Tim Walz , if those were true , it would end his campaign . ”",donald
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_28,54,54,"of one story that’s been pitched to a major newspaper and to me , and for all I know , to many others , that I don’t believe is true , ” he added . “ But if it’s true , as I said yesterday , it would end Donald",Trump’s,"campaign , just as if the accusations , now thoroughly debunked , contributed by American intelligence to Russia about Tim Walz , if those were true , it would end his campaign . ”",trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_31,23,23,NEW : Mark Halperin clarifies himself after he went viral for stating he had been pitched a story that would “ end,Trump’s,campaign . ”,trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_32,4,4,Halperin says the,comment,was made to warn people of “ actors ” who are trying to influence the election .,men
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_36,17,17,"By pushing dubious claims that are denied by all involved , the media is showing the",Harris,campaign to be desperate and fearful of defeat . One wonders what the internal polls are saying .,harris
ben_shapiro_relays_personal_story_about_crime_to_explain_failed_media_attacks_on_trump.txt_41,14,14,Ben Shapiro Relays Personal Story About Crime To Explain Failed Media Attacks On,Trump,,trump
ben_shapiro_relays_personal_story_about_crime_to_explain_failed_media_attacks_on_trump.txt_47,21,21,""" This is why people increasingly don't give a s * * * about the media's latest horror story about",Trump,"Saying Bad Things ™ . """,trump
ben_shapiro_relays_personal_story_about_crime_to_explain_failed_media_attacks_on_trump.txt_48,41,41,"Daily Wire Editor Emeritus Ben Shapiro on Wednesday relayed a personal story about crime in Los Angeles to underscore the reality that such issues are actually what Americans care about , not the latest opposition research dump on former President",Donald,Trump .,donald
ben_shapiro_relays_personal_story_about_crime_to_explain_failed_media_attacks_on_trump.txt_48,42,42,"Daily Wire Editor Emeritus Ben Shapiro on Wednesday relayed a personal story about crime in Los Angeles to underscore the reality that such issues are actually what Americans care about , not the latest opposition research dump on former President Donald",Trump,.,trump
ben_shapiro_relays_personal_story_about_crime_to_explain_failed_media_attacks_on_trump.txt_49,53,53,"who recently spoke at UCLA , said he went out to dinner this week in a nice part of Los Angeles with his wife and another couple . When they left to head home , at around 10 : 30 p.m . , his friends were robbed by three young",black,males who are still at large .,black
ben_shapiro_relays_personal_story_about_crime_to_explain_failed_media_attacks_on_trump.txt_52,23,23,"When they got to their car , Shapiro said , “ a Hyundai without plates speeds up and stops . Three young",black,"guys jump out of the car ( suspect description relevant because they’re still at large ! ) and rush up to my friend , yank him out of his car , and grab his watch , phone and wallet . They then sprint around the car and grab his wife",black
ben_shapiro_relays_personal_story_about_crime_to_explain_failed_media_attacks_on_trump.txt_55,17,17,"“ LA is wildly understaffed , and the LAPD has been treated horribly by the city",government,", such that officers have been targeted for simply doing their jobs , ” Shapiro said . “ I know and am friends with many of them . ”",men
ben_shapiro_relays_personal_story_about_crime_to_explain_failed_media_attacks_on_trump.txt_58,21,21,“ This is why people increasingly don’t give a s * * * about the media’s latest horror story about,Trump,"Saying Bad Things ™ , ” Shapiro mocked .",trump
ben_shapiro_relays_personal_story_about_crime_to_explain_failed_media_attacks_on_trump.txt_59,10,10,Left-wing outlet The Atlantic recently circulated a story about,Trump,"allegedly disparaging a slain soldier . The soldier’s own family , though , say they support Trump and have criticized The Atlantic for politicizing their family member’s death .",trump
ben_shapiro_relays_personal_story_about_crime_to_explain_failed_media_attacks_on_trump.txt_59,27,27,"Left-wing outlet The Atlantic recently circulated a story about Trump allegedly disparaging a slain soldier . The soldier’s own family , though , say they support",Trump,and have criticized The Atlantic for politicizing their family member’s death .,trump
ben_shapiro_relays_personal_story_about_crime_to_explain_failed_media_attacks_on_trump.txt_66,6,6,Related : The Atlantic Accuses,Trump,Of Disparaging Slain Soldier . The Soldier’s Family Responds .,trump
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_71,4,4,Betting Market Shows,Trump,Leading Harris In 6 Swing States,trump
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_71,6,6,Betting Market Shows Trump Leading,Harris,In 6 Swing States,harris
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_78,3,3,Former President,Donald,"Trump has pulled ahead of Vice President Kamala Harris in the White House race across six key swing states , one betting market announced on Wednesday , less than three weeks out from Election Day .",donald
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_78,4,4,Former President Donald,Trump,"has pulled ahead of Vice President Kamala Harris in the White House race across six key swing states , one betting market announced on Wednesday , less than three weeks out from Election Day .",trump
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_78,11,11,Former President Donald Trump has pulled ahead of Vice President,Kamala,"Harris in the White House race across six key swing states , one betting market announced on Wednesday , less than three weeks out from Election Day .",kamala
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_78,12,12,Former President Donald Trump has pulled ahead of Vice President Kamala,Harris,"in the White House race across six key swing states , one betting market announced on Wednesday , less than three weeks out from Election Day .",harris
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_79,3,3,Polymarket showed,Trump,"leading Harris 68 % - 32 % in Arizona , where 11 electoral votes are at stake ; 64 % - 36 % in Georgia , where 16 electoral votes are at stake ; and 59 % - 41 % in Pennsylvania , where 19 electoral votes are at stake",trump
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_79,5,5,Polymarket showed Trump leading,Harris,"68 % - 32 % in Arizona , where 11 electoral votes are at stake ; 64 % - 36 % in Georgia , where 16 electoral votes are at stake ; and 59 % - 41 % in Pennsylvania , where 19 electoral votes are at stake .",harris
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_80,5,5,The site also showed,Trump,"above Harris 55 % - 45 % in Michigan , where 15 electoral votes are at stake ; 54 % - 46 % in Wisconsin , where 10 electoral votes are at stake ; and 51 % - 49 % in Nevada , where six electoral votes are at stake",trump
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_80,7,7,The site also showed Trump above,Harris,"55 % - 45 % in Michigan , where 15 electoral votes are at stake ; 54 % - 46 % in Wisconsin , where 10 electoral votes are at stake ; and 51 % - 49 % in Nevada , where six electoral votes are at stake .",harris
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_81,1,1,,Trump,now has the lead in every swing state . pic.twitter.com / ie7NWK4zYn,trump
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_84,1,1,,Harris,"was performing better than Trump in some of the states , including Wisconsin and Nevada , just days ago . There is still time for the odds to shift back and forth as the candidates and their allies conduct a final campaign blitz .",harris
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_84,6,6,Harris was performing better than,Trump,"in some of the states , including Wisconsin and Nevada , just days ago . There is still time for the odds to shift back and forth as the candidates and their allies conduct a final campaign blitz .",trump
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_85,8,8,Polymarket’s overall forecast on Wednesday showed that,Trump,"was ahead of Harris 58.5 % - 41.3 % . Trump’s advantage has grown since the beginning of October , when the betting market showed him and Harris virtually tied .",trump
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_85,12,12,Polymarket’s overall forecast on Wednesday showed that Trump was ahead of,Harris,"58.5 % - 41.3 % . Trump’s advantage has grown since the beginning of October , when the betting market showed him and Harris virtually tied .",harris
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_85,19,19,Polymarket’s overall forecast on Wednesday showed that Trump was ahead of Harris 58.5 % - 41.3 % .,Trump’s,"advantage has grown since the beginning of October , when the betting market showed him and Harris virtually tied .",trump
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_85,36,36,"Polymarket’s overall forecast on Wednesday showed that Trump was ahead of Harris 58.5 % - 41.3 % . Trump’s advantage has grown since the beginning of October , when the betting market showed him and",Harris,virtually tied .,harris
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_87,1,1,,Harris,", who became the Democrats ’ presidential nominee after President Joe Biden dropped out of the race over the summer , has begun to ramp up her interview schedule after largely ducking the press early in her campaign .",harris
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_88,22,22,"Despite relatively friendly interviews with ABC’s “ The View , ” late-night host Stephen Colbert on CBS , and others ,",Harris,has struggled to answer how she differs from Biden and prove that she does not need to lean on a teleprompter .,harris
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_89,7,7,Several other betting markets also show,Trump,"ahead of Harris in the 2024 White House race . The RealClearPolitics ( RCP ) average , which includes Polymarket and some competitors , shows Trump leading Harris 57.7 % - 41.3 % .",trump
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_89,10,10,Several other betting markets also show Trump ahead of,Harris,"in the 2024 White House race . The RealClearPolitics ( RCP ) average , which includes Polymarket and some competitors , shows Trump leading Harris 57.7 % - 41.3 % .",harris
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_89,33,33,"Several other betting markets also show Trump ahead of Harris in the 2024 White House race . The RealClearPolitics ( RCP ) average , which includes Polymarket and some competitors , shows",Trump,leading Harris 57.7 % - 41.3 % .,trump
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_89,35,35,"Several other betting markets also show Trump ahead of Harris in the 2024 White House race . The RealClearPolitics ( RCP ) average , which includes Polymarket and some competitors , shows Trump leading",Harris,57.7 % - 41.3 % .,harris
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_90,2,2,Although,Trump,"is surging ahead in betting markets , polls still indicate a close race between him and Harris . RCP’s average for national polls show Harris ahead 49.2 % - 47.5 % and Trump leading 48.3 % - 47.6 % in battleground states .",trump
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_90,19,19,"Although Trump is surging ahead in betting markets , polls still indicate a close race between him and",Harris,. RCP’s average for national polls show Harris ahead 49.2 % - 47.5 % and Trump leading 48.3 % - 47.6 % in battleground states .,harris
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_90,27,27,"Although Trump is surging ahead in betting markets , polls still indicate a close race between him and Harris . RCP’s average for national polls show",Harris,ahead 49.2 % - 47.5 % and Trump leading 48.3 % - 47.6 % in battleground states .,harris
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_90,35,35,"Although Trump is surging ahead in betting markets , polls still indicate a close race between him and Harris . RCP’s average for national polls show Harris ahead 49.2 % - 47.5 % and",Trump,leading 48.3 % - 47.6 % in battleground states .,trump
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_91,3,3,Polymarket showed,Harris,"as favored to win the popular vote , with a 64 % - 36 % advantage over Trump . It also showed a 79 % chance of Republicans taking over the Senate and 55 % odds of the Democrats winning control of the House .",harris
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_91,21,21,"Polymarket showed Harris as favored to win the popular vote , with a 64 % - 36 % advantage over",Trump,. It also showed a 79 % chance of Republicans taking over the Senate and 55 % odds of the Democrats winning control of the House .,trump
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_92,35,35,"Billionaire investor Stanley Druckenmiller , the chairman and CEO of Duquesne Family Office , said on Wednesday the overall market — in which multiple stock indices rose to record highs this week — anticipates",Trump,to be victorious .,trump
betting_market_shows_trump_leading_harris_in_6_swing_states.txt_93,19,19,"“ In the last 12 days , the market and the inside of the market is very convinced",Trump,"is going to win , ” he told Bloomberg . “ You can see it in the bank stocks , you can see it in crypto , you can even see it in DJT , his social media company . ”",trump
biden_maga_republicans_are_the_kind_of_guys_youd_like_to_smack_in_the_a.txt_104,7,7,""" He’s intentionally trying to hurt",Harris,"and no one can convince me differently at this point . """,harris
biden_maga_republicans_are_the_kind_of_guys_youd_like_to_smack_in_the_a.txt_105,15,15,President Joe Biden raised eyebrows on Saturday while he was stumping for Vice President,Kamala,Harris in the critical swing state of Pennsylvania .,kamala
biden_maga_republicans_are_the_kind_of_guys_youd_like_to_smack_in_the_a.txt_105,16,16,President Joe Biden raised eyebrows on Saturday while he was stumping for Vice President Kamala,Harris,in the critical swing state of Pennsylvania .,harris
biden_maga_republicans_are_the_kind_of_guys_youd_like_to_smack_in_the_a.txt_106,23,23,"Biden , who has often capitalized on his ties to Scranton , Pennsylvania , during political campaigns , was attempting to help",Harris,"over the line with just a few days left until the November 5th general election . While speaking to the crowd , he riffed on the Democratic Party’s political nemeses — MAGA Republicans — and said that they were “ the kind of guys you’d like to smack in the",harris
biden_maga_republicans_are_the_kind_of_guys_youd_like_to_smack_in_the_a.txt_112,7,7,“ He’s intentionally trying to hurt,Harris,"and no one can convince me differently at this point , ” Meghan McCain commented on the video .",harris
biden_maga_republicans_are_the_kind_of_guys_youd_like_to_smack_in_the_a.txt_112,22,22,"“ He’s intentionally trying to hurt Harris and no one can convince me differently at this point , ” Meghan McCain",commented,on the video .,men
biden_maga_republicans_are_the_kind_of_guys_youd_like_to_smack_in_the_a.txt_113,6,6,He’s intentionally trying to hurt,Harris,and no one can convince me differently at this point . : / / t.co / aueRQkJxCZ,harris
biden_maga_republicans_are_the_kind_of_guys_youd_like_to_smack_in_the_a.txt_126,6,6,“ If you’re wondering why,@KamalaHarris,"let Biden anywhere near a microphone , it’s because they’re losing PA so badly they rolled the dice sending ‘ Scranton Joe ’ back in there . Oops , ” another commented .",kamala
biden_maga_republicans_are_the_kind_of_guys_youd_like_to_smack_in_the_a.txt_126,6,6,“ If you’re wondering why,@KamalaHarris,"let Biden anywhere near a microphone , it’s because they’re losing PA so badly they rolled the dice sending ‘ Scranton Joe ’ back in there . Oops , ” another commented .",harris
biden_maga_republicans_are_the_kind_of_guys_youd_like_to_smack_in_the_a.txt_126,38,38,"“ If you’re wondering why @KamalaHarris let Biden anywhere near a microphone , it’s because they’re losing PA so badly they rolled the dice sending ‘ Scranton Joe ’ back in there . Oops , ” another",commented,.,men
biden_maga_republicans_are_the_kind_of_guys_youd_like_to_smack_in_the_a.txt_127,5,5,If you’re wondering why,@KamalaHarris,"let Biden anywhere near a microphone , it’s because they’re losing PA so badly they rolled the dice sending “ Scranton Joe ” back in there .",kamala
biden_maga_republicans_are_the_kind_of_guys_youd_like_to_smack_in_the_a.txt_127,5,5,If you’re wondering why,@KamalaHarris,"let Biden anywhere near a microphone , it’s because they’re losing PA so badly they rolled the dice sending “ Scranton Joe ” back in there .",harris
biden_maga_republicans_are_the_kind_of_guys_youd_like_to_smack_in_the_a.txt_131,16,16,Biden landed himself in hot water earlier in the week for referring to former President,Donald,Trump’s supporters as “ garbage ” in reaction to a comedian’s joke during Trump’s rally last week at Madison Square Garden .,donald
biden_maga_republicans_are_the_kind_of_guys_youd_like_to_smack_in_the_a.txt_131,17,17,Biden landed himself in hot water earlier in the week for referring to former President Donald,Trump’s,supporters as “ garbage ” in reaction to a comedian’s joke during Trump’s rally last week at Madison Square Garden .,trump
